temperature,humidity,wind_speed,rainfall_7d,consecutive_dry_days,soil_moisture,land_type,month,risk_score,risk_level,fire_occurred
28.2,86.3,3.3,25.8,3,89.1,0,11,0.11,Low,0
25.7,71.1,5.3,14.4,0,95.0,1,10,0.0,Low,0
25.8,75.2,16.1,19.9,4,85.4,1,10,0.118,Low,0
28.5,82.9,8.2,22.5,4,86.7,0,5,0.106,Low,0
31.0,53.1,8.4,0.0,23,40.5,0,7,0.747,High,1
31.0,61.8,9.0,0.0,20,48.0,0,9,0.613,High,1
28.4,53.2,11.2,6.0,4,86.7,0,9,0.344,Low,0
26.5,81.6,2.0,31.8,0,95.0,1,5,0.0,Low,0
31.5,37.8,14.9,0.0,17,55.7,0,6,0.796,Critical,1
31.9,60.1,18.0,0.0,21,45.9,0,9,0.502,Medium,0
29.3,76.7,10.3,1.2,19,49.6,1,5,0.503,Medium,0
36.6,67.2,4.6,0.2,10,75.8,0,6,0.527,Medium,1
28.6,67.2,5.2,6.7,3,89.3,1,10,0.317,Low,0
30.8,65.9,13.5,1.2,10,72.9,1,4,0.682,High,1
35.7,51.7,17.0,0.0,5,87.8,0,8,0.649,High,0
29.9,77.1,19.1,4.8,3,89.9,1,1,0.406,Medium,0
27.6,67.2,4.9,4.3,4,86.3,1,10,0.186,Low,0
24.8,50.2,6.7,5.5,0,94.9,0,12,0.251,Low,0
32.4,57.7,20.7,0.0,10,73.7,1,7,0.858,Critical,1
27.5,80.0,5.7,9.0,3,88.7,0,11,0.095,Low,0
27.5,77.9,14.6,9.2,1,93.7,1,10,0.0,Low,0
25.8,80.9,3.6,6.4,2,90.4,1,11,0.098,Low,0
27.0,71.5,5.2,1.9,13,63.5,0,3,0.139,Low,1
29.1,51.5,28.7,0.0,21,44.5,0,9,0.731,High,1
33.9,78.5,6.5,0.0,17,56.9,0,8,0.693,High,0
27.9,77.0,3.6,4.2,0,95.0,1,12,0.088,Low,0
28.8,40.7,6.3,0.0,8,76.9,0,6,0.485,Medium,0
37.4,68.3,12.3,0.0,13,68.7,0,6,0.691,High,1
28.7,78.2,9.2,1.6,10,71.8,0,11,0.309,Low,1
31.9,25.0,13.6,0.0,6,83.4,0,8,0.73,High,0
33.1,53.4,26.0,0.7,8,79.1,0,9,0.719,High,1
27.1,76.3,9.3,40.3,4,86.0,0,10,0.0,Low,0
31.0,33.2,9.9,0.0,9,75.5,0,7,0.696,High,1
25.0,82.6,7.1,50.3,4,85.0,1,3,0.004,Low,0
31.6,56.4,13.7,0.6,23,40.8,1,8,0.835,Critical,0
32.9,44.0,27.7,2.9,0,95.0,1,9,0.746,High,0
32.0,41.0,8.7,0.0,10,73.5,1,7,0.826,Critical,1
29.3,85.7,8.9,2.5,0,95.0,1,1,0.275,Low,0
27.8,81.8,10.7,25.8,3,88.9,0,2,0.003,Low,0
32.0,85.7,16.3,17.8,3,91.0,1,4,0.404,Medium,0
32.9,28.7,22.2,0.5,17,56.4,0,8,0.857,Critical,1
26.1,78.9,14.0,38.4,1,93.1,1,11,0.014,Low,1
31.5,46.0,5.7,0.0,5,85.8,1,8,0.952,Critical,1
33.3,40.4,13.4,0.4,24,39.2,0,9,0.819,Critical,1
28.3,79.3,14.4,36.6,0,95.0,0,2,0.17,Low,0
26.7,69.9,12.1,2.4,3,88.3,0,11,0.151,Low,0
29.7,66.2,6.4,0.0,21,44.9,0,7,0.628,High,1
24.8,89.1,0.3,7.7,2,89.9,0,3,0.064,Low,0
26.5,84.7,2.4,0.4,22,40.7,1,10,0.586,High,1
26.6,51.2,7.5,0.8,6,80.8,1,7,0.601,High,0
27.1,64.5,3.8,15.0,0,95.0,0,4,0.0,Low,0
30.5,68.1,4.1,13.4,3,90.3,1,5,0.434,Medium,0
25.7,79.7,7.7,2.3,1,92.8,0,5,0.099,Low,0
27.7,95.0,13.5,2.3,2,91.3,0,2,0.185,Low,0
29.3,77.9,20.5,7.8,1,94.7,1,5,0.285,Low,0
25.2,91.3,16.7,36.9,1,92.6,0,2,0.009,Low,0
35.6,45.8,9.7,0.0,15,62.8,0,6,0.817,Critical,1
25.2,77.0,12.5,2.2,0,95.0,0,3,0.068,Low,0
27.3,95.0,7.7,22.1,4,86.1,0,1,0.0,Low,0
27.5,31.3,6.0,3.6,1,93.8,0,8,0.349,Low,0
25.8,77.4,13.0,11.7,2,90.4,1,1,0.073,Low,0
34.7,66.3,16.9,0.1,20,49.9,1,6,1.0,Critical,0
24.4,71.4,13.0,8.2,4,84.7,0,5,0.031,Low,0
27.1,88.8,19.8,12.3,4,86.0,0,10,0.018,Low,0
29.6,88.7,10.6,16.3,4,87.3,1,12,0.163,Low,0
34.2,53.1,8.2,0.0,22,44.6,1,7,1.0,Critical,1
25.6,95.0,4.8,7.6,0,95.0,0,5,0.137,Low,1
32.4,37.9,3.2,0.0,5,86.2,1,8,0.927,Critical,0
26.4,85.9,7.0,9.4,4,85.7,1,5,0.0,Low,0
32.1,53.5,36.4,0.0,13,66.1,0,6,0.718,High,1
35.0,67.0,5.2,0.0,7,82.5,0,7,0.61,High,1
24.0,73.1,6.1,46.7,3,87.0,0,5,0.025,Low,0
26.6,64.0,2.6,19.3,1,93.3,0,2,0.095,Low,0
32.1,58.2,26.8,4.8,3,91.0,1,8,0.62,High,0
33.8,38.9,12.8,1.9,14,64.4,0,9,0.84,Critical,1
25.4,90.5,10.8,3.2,4,85.2,1,4,0.076,Low,0
27.2,74.9,4.7,8.5,1,93.6,0,12,0.03,Low,0
27.4,82.1,4.9,2.7,3,88.7,0,4,0.01,Low,0
28.9,73.3,27.8,13.5,3,89.5,0,11,0.278,Low,0
26.9,77.1,2.7,1.6,13,63.4,0,10,0.232,Low,0
29.0,72.2,14.0,30.4,3,89.5,0,2,0.152,Low,0
27.5,65.8,4.6,7.9,3,88.7,1,4,0.111,Low,0
33.6,61.4,6.3,0.6,21,46.8,0,8,0.692,High,1
29.0,38.7,10.6,2.9,0,95.0,0,7,0.532,Medium,1
35.8,49.5,2.1,0.0,6,85.4,1,9,0.978,Critical,1
24.0,70.5,15.6,45.8,0,94.5,0,2,0.094,Low,0
31.2,50.6,2.0,8.5,0,95.0,0,8,0.346,Low,1
26.1,86.6,13.1,0.6,16,55.5,0,1,0.331,Low,0
27.4,85.0,22.0,41.0,1,93.7,1,3,0.181,Low,0
31.2,76.4,31.4,9.8,0,95.0,0,11,0.359,Medium,0
24.9,73.8,13.0,12.2,1,92.5,1,2,0.101,Low,0
32.1,51.4,13.0,0.0,5,86.0,1,8,0.819,Critical,1
28.9,85.0,1.2,65.9,1,94.4,1,5,0.105,Low,0
26.8,75.0,22.4,16.0,2,90.9,0,4,0.152,Low,0
25.7,59.7,5.6,7.8,1,92.8,0,12,0.131,Low,0
30.2,48.3,3.8,0.0,11,70.1,0,7,0.643,High,1
28.7,62.9,17.1,0.0,16,56.8,0,6,0.515,Medium,0
26.7,86.0,5.1,2.4,4,85.8,0,11,0.002,Low,0
25.5,67.6,21.1,11.4,0,95.0,1,1,0.1,Low,0
27.3,86.7,5.4,2.0,9,73.7,1,12,0.227,Low,1
30.4,43.6,25.0,0.0,15,60.2,0,7,0.789,Critical,1
28.1,56.0,0.8,0.0,17,54.1,0,9,0.515,Medium,0
27.6,72.8,17.4,17.7,1,93.8,0,12,0.022,Low,1
28.9,80.5,5.8,17.5,0,95.0,1,2,0.153,Low,0
28.7,92.5,3.4,5.7,0,95.0,0,5,0.128,Low,0
31.3,43.9,10.4,1.7,6,83.2,1,9,0.711,High,0
26.4,85.6,16.4,14.9,1,93.2,0,3,0.0,Low,0
31.4,86.9,0.7,13.3,1,95.0,1,12,0.388,Medium,0
27.1,87.0,5.7,7.2,1,93.6,0,5,0.049,Low,0
29.8,82.5,12.8,0.3,15,59.9,0,4,0.473,Medium,0
27.3,81.0,2.7,3.2,4,86.1,1,12,0.051,Low,0
27.1,84.2,4.0,7.7,4,86.1,0,11,0.058,Low,0
25.9,82.1,16.1,37.5,3,88.0,0,11,0.0,Low,0
28.0,59.8,10.0,23.7,1,94.0,0,1,0.163,Low,0
26.4,84.0,14.1,25.9,3,88.2,1,10,0.01,Low,0
25.3,95.0,2.8,29.8,4,85.2,0,3,0.015,Low,1
28.9,95.0,5.2,10.3,1,94.5,0,3,0.032,Low,0
24.1,62.7,16.4,2.1,2,89.6,1,2,0.325,Low,0
30.1,60.4,18.0,0.0,10,72.6,0,7,0.616,High,1
28.0,85.7,9.7,13.5,2,91.5,0,1,0.0,Low,0
24.0,67.4,8.3,13.0,1,92.0,1,3,0.081,Low,0
31.2,35.7,19.3,0.0,12,68.1,1,9,0.985,Critical,0
29.3,46.2,18.9,0.3,11,69.6,1,7,0.937,Critical,1
28.4,85.7,4.2,41.5,0,95.0,0,12,0.033,Low,0
33.1,43.6,24.7,0.0,21,46.6,0,7,0.965,Critical,1
27.7,94.0,4.6,25.6,4,86.4,0,3,0.022,Low,0
27.1,77.9,17.5,29.7,3,88.5,1,3,0.069,Low,0
30.7,61.2,4.2,0.0,19,50.4,1,6,0.918,Critical,1
27.1,62.2,3.6,3.7,1,93.6,1,12,0.143,Low,0
24.3,80.2,7.8,14.5,0,94.7,0,3,0.0,Low,0
26.3,72.3,10.4,10.7,0,95.0,0,5,0.0,Low,0
28.9,81.4,15.4,15.9,2,92.0,0,4,0.164,Low,0
34.2,59.1,8.1,0.0,19,52.1,0,7,0.691,High,0
28.3,52.2,8.2,0.0,24,36.7,0,8,0.629,High,1
26.2,82.4,17.6,29.4,1,93.1,1,4,0.072,Low,0
32.7,41.2,7.1,0.0,12,68.9,0,9,0.631,High,1
25.1,60.7,10.9,32.1,4,85.1,1,2,0.062,Low,0
28.6,87.8,7.6,10.7,1,94.3,0,5,0.105,Low,0
28.4,87.3,5.7,16.2,1,94.2,0,4,0.078,Low,1
27.3,80.0,3.9,48.2,1,93.7,0,12,0.0,Low,0
27.1,80.1,22.6,16.0,2,91.1,0,11,0.095,Low,0
25.8,67.7,1.4,43.0,3,87.9,0,2,0.0,Low,0
24.3,85.3,10.5,37.7,1,92.2,1,1,0.013,Low,0
32.9,69.2,17.9,0.0,17,56.5,0,8,0.59,High,1
25.9,82.7,19.2,11.7,4,85.5,1,4,0.106,Low,0
36.5,57.5,10.6,0.0,14,65.8,0,6,0.695,High,0
26.6,71.2,5.1,19.8,2,90.8,0,12,0.029,Low,0
31.7,50.2,4.2,0.0,15,60.8,1,9,1.0,Critical,1
30.0,25.0,12.7,0.0,12,67.5,0,6,0.697,High,1
26.2,68.6,16.4,19.3,4,85.6,0,4,0.067,Low,0
27.0,72.7,23.6,5.8,2,91.0,0,4,0.198,Low,0
28.9,83.5,0.2,6.0,0,95.0,0,10,0.19,Low,0
28.2,83.6,3.7,15.2,3,89.1,1,11,0.203,Low,0
32.8,33.5,13.9,8.0,2,93.9,1,6,0.879,Critical,1
28.0,73.7,2.8,1.3,11,69.0,1,10,0.306,Low,0
34.3,59.3,10.8,3.2,3,92.1,0,8,0.345,Low,0
25.0,70.9,10.8,4.8,1,92.5,1,10,0.064,Low,0
30.7,49.8,9.0,0.0,19,50.3,0,9,0.643,High,0
29.3,75.0,12.3,58.3,4,87.2,1,4,0.258,Low,0
28.8,37.1,5.0,2.4,4,86.9,0,8,0.531,Medium,0
27.4,75.1,4.1,9.9,4,86.2,0,11,0.004,Low,0
30.9,74.1,25.8,0.0,12,67.9,0,9,0.548,Medium,0
25.7,71.6,5.6,11.0,4,85.4,1,3,0.0,Low,0
27.2,83.1,10.9,1.5,7,78.6,1,11,0.304,Low,0
26.0,87.7,0.7,8.7,2,90.5,0,4,0.0,Low,0
35.2,41.5,3.6,0.0,18,55.1,0,8,0.744,High,1
24.5,79.7,1.8,2.8,0,94.8,0,4,0.165,Low,1
32.7,59.1,7.1,0.0,13,66.4,1,8,0.767,Critical,1
27.5,77.6,18.2,32.0,2,91.3,0,1,0.142,Low,1
30.7,56.7,10.4,0.0,10,72.9,0,9,0.496,Medium,0
24.3,86.7,14.1,11.2,4,84.7,0,12,0.002,Low,1
25.9,74.7,4.7,15.8,0,95.0,1,1,0.0,Low,0
25.2,80.6,2.8,1.1,11,67.6,0,11,0.259,Low,0
26.0,84.2,20.7,5.5,4,85.5,0,1,0.171,Low,0
28.4,83.3,2.7,16.7,2,91.7,0,4,0.142,Low,0
30.6,34.1,6.9,0.0,21,45.3,0,6,0.749,High,0
28.1,85.1,16.6,11.4,2,91.5,1,10,0.298,Low,0
27.7,56.3,14.1,0.0,12,66.4,1,6,0.526,Medium,1
31.7,48.0,8.8,2.7,0,95.0,1,6,0.733,High,1
34.4,56.0,9.6,0.0,16,59.7,1,9,1.0,Critical,1
29.5,44.4,21.4,0.4,8,77.3,0,9,0.556,High,1
29.8,38.8,10.8,0.0,22,42.4,0,6,0.699,High,1
26.6,80.4,0.4,14.6,2,90.8,0,10,0.0,Low,0
26.6,78.1,17.5,10.8,2,90.8,0,1,0.001,Low,0
32.5,41.0,6.4,2.0,2,93.8,0,8,0.41,Medium,0
30.0,72.3,10.8,16.8,0,95.0,1,1,0.188,Low,0
28.4,81.4,6.1,24.2,3,89.2,0,10,0.129,Low,0
28.8,78.9,1.5,8.0,4,86.9,1,12,0.18,Low,0
27.1,95.0,6.5,20.3,4,86.1,0,11,0.0,Low,0
33.4,61.0,0.4,0.0,9,76.7,0,8,0.678,High,1
34.1,65.4,11.8,1.0,10,74.6,1,9,0.942,Critical,1
25.1,60.8,22.2,33.1,1,92.6,0,2,0.143,Low,1
25.0,89.9,6.8,33.1,0,95.0,1,12,0.0,Low,0
29.6,89.2,5.2,5.6,4,87.3,0,10,0.14,Low,0
31.9,53.4,4.1,0.0,7,81.0,1,8,0.921,Critical,1
24.0,66.4,4.0,2.1,1,92.0,0,11,0.128,Low,0
24.0,68.2,8.4,14.0,3,87.0,0,5,0.058,Low,0
29.0,51.7,25.3,1.7,14,62.0,1,6,0.937,Critical,1
26.7,74.2,1.0,2.2,2,90.8,0,10,0.137,Low,0
27.6,85.2,28.5,7.5,3,88.8,1,4,0.281,Low,0
32.6,55.6,17.5,0.4,21,46.3,1,6,0.95,Critical,1
27.8,77.8,17.9,7.1,2,91.4,0,10,0.077,Low,0
24.0,95.0,17.2,7.9,2,89.5,1,11,0.131,Low,0
34.9,47.5,7.5,7.8,1,95.0,0,7,0.55,High,0
27.2,86.6,21.3,6.1,2,91.1,0,11,0.185,Low,0
25.9,84.9,12.1,21.0,4,85.5,1,3,0.081,Low,0
27.7,86.6,8.2,7.9,2,91.4,0,1,0.006,Low,0
30.5,83.4,11.1,27.7,3,90.2,1,12,0.34,Low,1
29.0,87.9,11.4,5.2,2,92.0,0,2,0.133,Low,0
33.6,35.1,8.7,0.4,21,46.8,1,7,1.0,Critical,0
30.6,87.9,9.8,18.8,3,90.3,0,10,0.175,Low,0
27.8,73.9,8.2,2.2,1,93.9,1,4,0.062,Low,0
25.7,78.1,16.1,27.4,0,95.0,0,1,0.0,Low,0
26.5,71.8,14.0,23.3,2,90.7,0,12,0.006,Low,0
31.8,73.8,23.1,0.0,15,60.9,1,8,0.789,Critical,0
27.8,71.6,6.0,10.4,3,88.9,1,12,0.0,Low,0
26.9,73.9,7.4,8.1,4,85.9,0,3,0.0,Low,0
35.5,46.7,10.9,1.0,12,70.3,1,6,0.932,Critical,1
29.3,75.3,28.5,1.3,15,59.6,0,5,0.313,Low,0
27.2,79.4,8.9,20.0,0,95.0,1,5,0.046,Low,0
25.1,94.1,9.8,22.3,0,95.0,0,10,0.0,Low,0
27.4,88.0,4.1,15.4,3,88.7,0,5,0.049,Low,0
24.3,83.4,13.5,7.6,3,87.1,1,3,0.136,Low,0
27.3,72.4,8.1,42.9,4,86.1,0,12,0.065,Low,0
35.4,34.9,5.0,0.0,14,65.2,0,6,0.895,Critical,1
27.1,71.5,2.6,5.1,3,88.6,0,11,0.058,Low,0
26.2,69.3,7.4,11.3,4,85.6,1,2,0.08,Low,0
27.8,67.5,9.6,12.3,4,86.4,0,2,0.065,Low,0
28.4,81.6,11.0,48.5,3,89.2,1,11,0.152,Low,0
32.8,40.1,20.1,0.0,20,48.9,1,9,0.968,Critical,1
28.0,83.8,2.5,2.7,1,94.0,1,4,0.134,Low,1
27.0,85.2,0.8,0.7,14,61.0,0,5,0.323,Low,1
28.4,73.5,2.0,0.0,8,76.7,0,5,0.387,Medium,0
31.5,42.2,20.1,7.5,0,95.0,0,9,0.509,Medium,0
24.1,63.3,23.6,34.9,1,92.1,1,4,0.181,Low,0
29.6,55.3,3.9,0.0,15,59.8,0,9,0.359,Medium,0
25.5,85.0,7.4,7.7,3,87.7,1,12,0.081,Low,0
34.5,43.4,3.3,0.0,8,79.7,0,8,0.695,High,1
29.1,74.2,16.2,22.1,1,94.5,1,11,0.049,Low,1
29.5,74.0,7.8,21.8,0,95.0,0,4,0.091,Low,0
30.6,41.2,3.3,0.0,23,40.3,0,8,0.67,High,0
25.1,83.3,11.7,5.4,4,85.0,1,4,0.052,Low,0
27.9,83.6,4.4,2.4,2,91.5,0,11,0.107,Low,0
24.0,60.1,6.6,15.0,2,89.5,1,10,0.077,Low,0
25.1,77.6,11.6,3.0,2,90.0,1,4,0.129,Low,1
34.4,43.3,3.1,5.8,0,95.0,1,9,0.782,Critical,1
27.2,88.3,6.0,14.4,1,93.6,0,3,0.015,Low,0
30.8,78.1,33.6,5.5,4,87.9,1,11,0.621,High,0
25.0,75.8,3.0,16.8,4,85.0,0,3,0.0,Low,0
35.0,53.1,6.2,0.0,15,62.5,0,7,0.757,Critical,1
35.0,39.6,4.6,0.0,20,50.0,0,6,0.892,Critical,1
26.7,73.6,9.4,15.0,2,90.8,1,11,0.025,Low,0
25.1,70.3,10.8,11.0,0,95.0,0,4,0.0,Low,0
30.0,73.1,4.8,7.6,2,92.5,1,12,0.46,Medium,0
25.2,70.0,9.7,1.2,19,47.6,1,3,0.453,Medium,1
31.0,72.4,9.1,1.4,14,63.0,0,6,0.356,Medium,0
29.2,39.0,16.8,0.0,14,62.1,1,6,1.0,Critical,1
26.6,80.2,24.4,7.9,0,95.0,0,3,0.156,Low,0
33.4,49.3,17.9,11.3,0,95.0,0,9,0.463,Medium,0
27.5,75.0,7.5,8.5,0,95.0,0,2,0.041,Low,0
30.1,88.3,14.7,3.3,3,90.1,0,12,0.231,Low,0
31.4,58.4,2.2,0.0,20,48.2,0,9,0.581,High,0
24.0,77.6,5.6,4.4,2,89.5,0,3,0.116,Low,1
24.2,75.3,5.0,37.0,4,84.6,1,10,0.054,Low,0
29.0,76.1,17.2,11.5,2,92.0,1,5,0.217,Low,1
30.0,78.0,2.5,7.9,2,92.5,0,2,0.171,Low,0
26.0,89.5,2.6,2.6,4,85.5,1,1,0.191,Low,0
27.3,79.3,4.6,5.6,3,88.6,0,2,0.066,Low,0
28.6,34.1,11.8,9.2,3,89.3,1,9,0.552,High,1
26.5,71.2,9.5,29.4,1,93.3,1,10,0.149,Low,0
26.6,77.7,6.2,19.2,3,88.3,0,3,0.0,Low,0
28.2,81.3,21.8,11.7,0,95.0,0,1,0.178,Low,0
25.6,67.9,7.0,14.0,2,90.3,0,3,0.035,Low,0
34.6,75.1,1.7,3.6,0,95.0,0,8,0.256,Low,0
31.1,50.7,9.2,1.7,21,45.6,0,6,0.615,High,1
29.2,83.7,16.9,7.9,4,87.1,1,1,0.286,Low,0
27.7,82.6,17.1,31.1,0,95.0,0,12,0.071,Low,0
34.6,87.5,6.2,0.0,18,54.8,0,9,0.711,High,0
25.2,72.6,8.2,20.4,3,87.6,0,3,0.0,Low,0
29.4,74.1,1.1,6.5,2,92.2,1,2,0.256,Low,0
28.8,88.2,13.3,0.1,6,81.9,1,12,0.513,Medium,0
27.8,71.8,18.8,4.3,2,91.4,1,9,0.318,Low,0
26.1,74.2,10.4,21.3,2,90.6,0,11,0.023,Low,0
30.7,86.9,7.8,4.7,2,92.9,0,10,0.189,Low,0
28.7,76.7,2.2,17.9,3,89.4,0,2,0.102,Low,0
28.9,69.2,9.0,5.9,4,86.9,1,1,0.297,Low,0
24.0,82.9,17.1,21.5,3,87.0,1,11,0.072,Low,0
26.1,77.5,6.4,0.6,22,40.5,1,1,0.55,Medium,0
30.5,78.8,27.6,20.7,0,95.0,0,11,0.264,Low,1
28.5,82.9,3.3,6.7,2,91.8,0,11,0.138,Low,1
24.6,83.5,20.3,27.2,2,89.8,0,12,0.101,Low,0
27.5,86.4,9.3,8.8,1,93.7,0,5,0.001,Low,0
26.4,85.7,20.9,9.5,4,85.7,1,3,0.03,Low,0
28.4,77.5,13.3,6.8,1,94.2,0,1,0.18,Low,0
30.9,78.0,16.7,2.5,3,90.5,0,12,0.397,Medium,1
37.0,43.6,6.4,2.8,2,95.0,0,6,0.567,High,1
27.1,82.5,0.3,12.8,1,93.5,1,4,0.0,Low,0
32.5,40.0,6.1,2.9,2,93.7,0,8,0.559,High,0
33.6,40.3,4.9,2.9,0,95.0,0,8,0.524,Medium,0
26.6,83.8,10.5,12.0,1,93.3,0,1,0.0,Low,0
30.2,64.8,12.4,0.0,14,62.6,0,6,0.519,Medium,0
28.2,73.5,5.9,2.5,1,94.1,1,4,0.254,Low,0
30.0,77.1,3.1,2.9,0,95.0,0,5,0.244,Low,0
24.6,59.4,12.3,22.5,1,92.3,0,10,0.162,Low,0
35.8,54.3,28.9,3.2,0,95.0,1,7,0.815,Critical,1
29.7,61.1,8.5,2.1,4,87.3,0,9,0.361,Medium,1
31.6,51.1,9.5,0.0,7,80.8,0,7,0.622,High,1
30.9,50.8,11.5,0.0,7,80.5,1,6,0.885,Critical,1
28.5,82.2,3.5,3.7,1,94.2,0,5,0.225,Low,0
28.1,82.3,19.0,2.5,0,95.0,0,10,0.238,Low,0
25.1,72.8,4.4,9.5,0,95.0,1,11,0.043,Low,0
30.0,80.9,9.5,18.5,1,95.0,0,1,0.207,Low,0
26.7,68.4,7.2,1.0,24,35.8,1,9,0.561,High,1
28.4,73.4,10.6,4.9,3,89.2,0,12,0.127,Low,0
29.5,68.7,12.9,29.1,1,94.8,0,11,0.158,Low,1
30.1,72.4,2.7,48.9,2,92.6,1,1,0.385,Medium,1
29.2,80.7,12.3,5.0,1,94.6,0,12,0.204,Low,0
30.9,73.2,6.9,4.5,1,95.0,1,12,0.391,Medium,0
27.1,69.2,10.4,8.9,1,93.5,0,2,0.063,Low,0
28.5,70.4,25.5,32.4,3,89.2,1,3,0.248,Low,0
29.3,44.0,5.5,0.0,21,44.7,1,6,0.897,Critical,1
24.4,84.2,1.6,2.7,0,94.7,0,10,0.079,Low,0
31.7,56.5,9.7,0.0,7,80.8,0,7,0.533,Medium,1
27.2,77.0,9.0,9.4,2,91.1,1,11,0.076,Low,1
28.2,70.4,8.8,12.6,4,86.6,0,11,0.168,Low,1
26.3,62.7,3.9,0.8,16,55.6,0,10,0.346,Low,0
27.4,81.4,11.5,6.5,0,95.0,0,10,0.0,Low,0
24.9,55.8,11.7,0.0,7,77.5,0,8,0.273,Low,0
27.5,77.8,5.4,2.6,1,93.7,1,2,0.236,Low,1
28.0,80.1,3.7,16.3,0,95.0,1,12,0.037,Low,0
24.8,81.4,18.7,4.4,0,94.9,0,12,0.13,Low,0
30.3,76.7,4.7,2.6,3,90.1,1,5,0.428,Medium,0
25.9,65.9,10.6,19.7,0,95.0,0,2,0.0,Low,0
25.7,75.8,5.0,22.8,3,87.8,0,3,0.015,Low,1
33.9,47.2,18.3,0.9,22,44.4,0,8,0.784,Critical,0
32.9,47.3,7.8,0.0,21,46.5,1,6,0.944,Critical,1
30.2,47.1,19.7,0.0,15,60.1,0,6,0.711,High,1
24.3,67.7,12.6,11.9,0,94.6,0,11,0.065,Low,0
24.6,76.4,4.3,0.3,18,49.8,0,10,0.321,Low,0
26.6,75.0,5.5,39.1,1,93.3,1,5,0.0,Low,1
24.2,78.6,5.9,23.2,1,92.1,0,3,0.017,Low,0
26.9,95.0,19.9,2.1,3,88.4,0,11,0.192,Low,0
33.2,45.5,7.0,0.0,19,51.6,1,8,0.855,Critical,1
26.3,82.0,26.8,3.5,4,85.6,1,4,0.216,Low,0
26.7,70.1,6.9,26.3,4,85.8,0,4,0.0,Low,0
28.5,70.0,4.4,4.1,0,95.0,0,4,0.152,Low,1
32.3,40.6,20.2,0.0,6,83.6,0,7,0.682,High,1
24.0,82.8,17.8,30.2,2,89.5,1,10,0.027,Low,0
30.0,83.7,1.1,3.4,4,87.5,0,2,0.117,Low,1
31.0,58.0,4.5,0.3,15,60.5,1,7,0.87,Critical,1
27.9,83.5,8.0,16.2,1,94.0,0,10,0.0,Low,0
28.2,75.7,5.9,1.3,6,81.6,1,2,0.274,Low,0
29.9,60.3,5.3,50.4,4,87.4,1,2,0.181,Low,0
27.0,95.0,1.5,7.8,3,88.5,1,4,0.128,Low,0
24.0,85.0,11.0,4.4,4,84.5,0,4,0.105,Low,0
25.4,75.0,5.2,35.0,4,85.2,0,4,0.0,Low,0
26.9,84.4,8.3,5.1,2,90.9,0,12,0.004,Low,0
35.4,51.5,15.8,0.0,6,85.2,1,6,0.931,Critical,1
25.8,71.6,7.2,33.3,2,90.4,1,4,0.0,Low,0
24.8,68.8,18.0,15.0,2,89.9,1,4,0.189,Low,0
29.5,50.0,17.5,0.6,24,37.3,0,7,0.598,High,1
33.8,80.7,4.8,0.0,23,41.9,1,8,0.974,Critical,1
