epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,8242.3,1.20961,0.82494,1.34848,0.78636,0.6638,0.73412,0.44198,1.33443,0.79113,1.44406,0.0005248,0.0005248,0.0005248
50,8407.8,1.21326,0.82024,1.33751,0.78285,0.66771,0.73902,0.44144,1.34427,0.78127,1.4404,0.0005149,0.0005149,0.0005149
51,8573.41,1.20498,0.83548,1.33566,0.78256,0.66799,0.73788,0.44397,1.32783,0.78715,1.42514,0.000505,0.000505,0.000505
52,8738.92,1.17554,0.79731,1.31868,0.77979,0.67232,0.74393,0.4475,1.31623,0.77082,1.42886,0.0004951,0.0004951,0.0004951
53,8904.65,1.1788,0.78126,1.31758,0.7926,0.6783,0.74362,0.44803,1.31635,0.77627,1.42946,0.0004852,0.0004852,0.0004852
54,9070.18,1.17492,0.78628,1.31861,0.79341,0.6754,0.74799,0.45037,1.31159,0.76707,1.42222,0.0004753,0.0004753,0.0004753
55,9235.39,1.14567,0.76188,1.29606,0.78587,0.69011,0.75227,0.45888,1.29675,0.75351,1.41391,0.0004654,0.0004654,0.0004654
56,9400.95,1.14896,0.76628,1.30137,0.80526,0.6799,0.75237,0.45805,1.30077,0.75024,1.41469,0.0004555,0.0004555,0.0004555
57,9566.16,1.13319,0.7469,1.29216,0.77171,0.71429,0.75758,0.46207,1.29853,0.74155,1.41467,0.0004456,0.0004456,0.0004456
58,9731.91,1.12292,0.7424,1.28262,0.77782,0.71261,0.76088,0.46931,1.27921,0.72984,1.40248,0.0004357,0.0004357,0.0004357
59,9897.41,1.12115,0.72052,1.282,0.78909,0.71036,0.76375,0.47305,1.27667,0.72449,1.39899,0.0004258,0.0004258,0.0004258
60,10063.2,1.10731,0.72,1.27636,0.80014,0.71091,0.76408,0.4765,1.26597,0.71293,1.39589,0.0004159,0.0004159,0.0004159
61,10228.8,1.10794,0.71995,1.27659,0.79647,0.72484,0.77002,0.47761,1.26527,0.71332,1.39176,0.000406,0.000406,0.000406
62,10394.3,1.09696,0.70572,1.26527,0.80997,0.71334,0.77291,0.48161,1.25616,0.70445,1.38905,0.0003961,0.0003961,0.0003961
63,10560.1,1.0948,0.70865,1.26383,0.81364,0.7069,0.76546,0.4798,1.25446,0.70089,1.38618,0.0003862,0.0003862,0.0003862
64,10725.7,1.07643,0.68811,1.25282,0.80286,0.71425,0.76735,0.48473,1.24916,0.70573,1.37884,0.0003763,0.0003763,0.0003763
65,10891.6,1.0716,0.68541,1.24183,0.77742,0.74276,0.76573,0.48361,1.24506,0.7002,1.37708,0.0003664,0.0003664,0.0003664
66,11057.3,1.06585,0.68073,1.23626,0.80179,0.73519,0.7728,0.48939,1.23642,0.6882,1.37095,0.0003565,0.0003565,0.0003565
67,11223.3,1.04985,0.66453,1.23208,0.82027,0.72249,0.77213,0.49193,1.2339,0.68291,1.37404,0.0003466,0.0003466,0.0003466
68,11389.2,1.0428,0.65799,1.228,0.8159,0.72334,0.7787,0.49921,1.2236,0.67991,1.3682,0.0003367,0.0003367,0.0003367
69,11555.2,1.02943,0.64821,1.22126,0.81988,0.73753,0.78278,0.50139,1.21866,0.66997,1.3623,0.0003268,0.0003268,0.0003268
70,11720.9,1.01808,0.63341,1.21051,0.81389,0.73823,0.7775,0.50215,1.21689,0.66638,1.36193,0.0003169,0.0003169,0.0003169
71,11886.8,1.01684,0.63877,1.20759,0.82285,0.73738,0.7803,0.50481,1.216,0.66406,1.35625,0.000307,0.000307,0.000307
72,12052.7,1.00714,0.63309,1.2006,0.81681,0.73484,0.77921,0.50484,1.20715,0.66146,1.34877,0.0002971,0.0002971,0.0002971
73,12218.4,1.00597,0.63096,1.20573,0.80762,0.74631,0.78633,0.51056,1.20425,0.65643,1.3486,0.0002872,0.0002872,0.0002872
74,12384.1,0.98805,0.6175,1.18861,0.81717,0.75575,0.78793,0.51124,1.19614,0.65185,1.33692,0.0002773,0.0002773,0.0002773
75,12549.9,0.99099,0.6136,1.18875,0.81748,0.75788,0.79428,0.51573,1.19447,0.65083,1.33792,0.0002674,0.0002674,0.0002674
76,12716.1,0.98213,0.60769,1.17989,0.81734,0.7564,0.79734,0.51994,1.19173,0.64724,1.33709,0.0002575,0.0002575,0.0002575
77,12881.7,0.9813,0.60497,1.18084,0.83916,0.73708,0.79426,0.51761,1.19253,0.64501,1.34006,0.0002476,0.0002476,0.0002476
78,13047.5,0.96734,0.58965,1.17326,0.82117,0.75523,0.79203,0.51844,1.18316,0.63912,1.33679,0.0002377,0.0002377,0.0002377
79,13213.5,0.96068,0.59624,1.1761,0.81848,0.76463,0.7919,0.51841,1.18151,0.63724,1.34093,0.0002278,0.0002278,0.0002278
80,13379.3,0.95888,0.58927,1.17338,0.82686,0.75317,0.78996,0.51862,1.18158,0.63935,1.34346,0.0002179,0.0002179,0.0002179
81,13545,0.94329,0.5751,1.16311,0.81811,0.75737,0.79184,0.51819,1.1803,0.63806,1.34257,0.000208,0.000208,0.000208
82,13710.7,0.93335,0.57541,1.15327,0.82643,0.75467,0.79322,0.51966,1.17687,0.63678,1.3384,0.0001981,0.0001981,0.0001981
83,13876.4,0.93552,0.56815,1.15238,0.84053,0.75851,0.79443,0.52322,1.17198,0.63325,1.33289,0.0001882,0.0001882,0.0001882
84,14042.2,0.92771,0.56465,1.15305,0.83606,0.75723,0.79658,0.52757,1.16822,0.62693,1.33067,0.0001783,0.0001783,0.0001783
85,14208.3,0.91646,0.55632,1.14708,0.83513,0.75856,0.79581,0.529,1.16606,0.62471,1.33183,0.0001684,0.0001684,0.0001684
86,14373.9,0.9134,0.55216,1.14456,0.83977,0.75457,0.79661,0.52907,1.15993,0.62586,1.33103,0.0001585,0.0001585,0.0001585
87,14539.6,0.91017,0.55303,1.14199,0.83586,0.76226,0.79399,0.52607,1.15969,0.62288,1.33142,0.0001486,0.0001486,0.0001486
88,14705.2,0.90049,0.54424,1.13783,0.83687,0.7649,0.7943,0.5275,1.15675,0.61898,1.32724,0.0001387,0.0001387,0.0001387
89,14871,0.88814,0.54397,1.12896,0.83888,0.76454,0.79416,0.52735,1.15139,0.61861,1.32186,0.0001288,0.0001288,0.0001288
90,15036.9,0.8865,0.531,1.12822,0.839,0.75963,0.79499,0.52813,1.15218,0.61729,1.32402,0.0001189,0.0001189,0.0001189
91,15196.2,0.83286,0.42985,1.08121,0.8336,0.76595,0.79472,0.5271,1.15154,0.61957,1.32513,0.000109,0.000109,0.000109
92,15355,0.80199,0.41233,1.06621,0.83616,0.76987,0.79591,0.52999,1.14907,0.62035,1.32719,9.91e-05,9.91e-05,9.91e-05
93,15513.9,0.78554,0.40677,1.0543,0.82686,0.77376,0.79713,0.53261,1.14456,0.61964,1.32414,8.92e-05,8.92e-05,8.92e-05
94,15672.9,0.78411,0.39854,1.05221,0.83298,0.774,0.79797,0.53481,1.14215,0.61604,1.32553,7.93e-05,7.93e-05,7.93e-05
95,15832.1,0.77466,0.3934,1.04592,0.83336,0.77091,0.79901,0.53656,1.13711,0.61305,1.32309,6.94e-05,6.94e-05,6.94e-05
96,15991.1,0.76266,0.38896,1.04031,0.83639,0.77131,0.79972,0.53795,1.13497,0.61148,1.32507,5.95e-05,5.95e-05,5.95e-05
97,16150,0.76666,0.38611,1.04149,0.83268,0.77186,0.79959,0.53981,1.13279,0.61064,1.3244,4.96e-05,4.96e-05,4.96e-05
98,16308.8,0.75184,0.38002,1.03494,0.84298,0.77009,0.80244,0.54098,1.1309,0.60852,1.32492,3.97e-05,3.97e-05,3.97e-05
99,16467.6,0.75091,0.37932,1.03553,0.84592,0.7671,0.80249,0.54139,1.12935,0.60766,1.3248,2.98e-05,2.98e-05,2.98e-05
100,16626.6,0.74505,0.3763,1.03184,0.84906,0.76707,0.80301,0.54304,1.12722,0.60641,1.32439,1.99e-05,1.99e-05,1.99e-05
